arsenic,cadmium,lead,mercury
0.013672779723387173,0.00044843183255548614,0.003767245536062612,4.9601273190705174e-05
0.015889211989066735,0.0009302626979397224,0.0034196424535555916,0.006835796289579399
0.0025379298047582335,0.002370437747932815,0.0014397455320895314,0.009259141154703538
0.01230112472319304,0.001126741558750647,0.00034708802554773754,0.004354237760100456
0.013277398070901369,0.002313368878479725,0.0019535579857302703,0.0029530911897370764
0.059,0.259,0.002465543523041456,0.006330796206430636
0.00806825271921742,0.003145498124871914,0.003025815370092489,0.010284141242016941
0.007863358289556014,0.0021526250136332586,0.0011579835007950185,0.005126772254367544
0.051,0.074,0.0013223562034370535,0.00579053126887944
0.315,0.329,0.562,0.019
0.19,0.361,0.843,0.015
0.196,0.049,0.149,0.013
0.019,0.005,0.006,0.010581245085871105
0.00847992128749723,0.0034688826966499837,0.0008089132259908282,0.010410029042433596
0.010276827413581808,0.00039845104253706244,0.0005115574082352548,0.003782495742508017
0.058,0.008,0.0036989029700956314,0.0024825957582788978
0.028,0.039,0.053,0.009151599836356232
0.0032903080867243287,0.0012647996344741603,0.0034649851498085313,0.00026146924930952074
0.024,0.009,0.019,0.009487197241340986
0.010351951489910438,0.0004732197628384203,0.017,0.00663786521817973
0.012101908192250889,0.0032436512841483404,0.004,0.009160900404516026
0.018,0.0028396288349693075,0.004,0.008130273500275446
0.017,0.035,0.027,0.00548714420670162
0.028,0.0033656398190056933,0.0021547611936272595,0.010635288061366707
0.02,0.003861751093287137,0.0032444660353595114,0.002585255111411131
0.014722564207361157,0.0035432473958500656,0.0006956018723999553,0.0058061068752474415
0.011540049866703104,0.0035034504549810333,0.001790203224121972,0.007920086432972142
0.078,0.025,0.102,0.0011736382762084585
0.011575409228118554,0.133,0.007,0.007389501284658656
0.113,0.082,0.118,0.008061472075378396
0.1,0.088,0.109,0.008456349723789277
0.014555144864374817,0.00023401947079739838,0.0031705834274031973,0.0054378582661821434
0.047,0.178,0.008,0.0023265899028566722
0.096,0.087,0.01,0.006411716414964558
0.014989727825399885,0.002433471780249924,0.003032752563080708,0.0022662697586034054
0.009515766930237571,0.0025396956751586384,0.0003089679497654836,7.808409138843563e-05
0.005611080034372631,0.0035382615088304556,0.053,0.001655146032622439
0.009935525489716247,0.0009929098749636212,0.0009031294918788616,0.006382367030900005
0.092,0.001989278943887758,0.122,0.006340409175061647
0.131,0.0023707606489486405,0.169,0.009787070558702737
0.011873230143877323,0.003561377744096013,0.058,0.005137926858078533
0.393,0.098,0.897,0.005577196625319594
0.45,0.086,7.929,0.013
0.007596273351831003,0.015,0.02,0.0076756074199517315
0.059,0.033,0.287,0.009940118566810109
0.126,0.143,0.739,0.022
0.023,0.001986397171136527,0.01,0.0019137631888046817
0.010347264060159731,0.0008853705002342478,0.00047624028953928345,0.002666884005773463
0.015894202765766065,0.0015696732129509452,0.00034369168122599936,0.0076247236345642466
0.007756609812266122,0.001298413489360668,0.0021399884052712066,0.00810939116299971
0.008797730266957564,0.0034308671184791967,0.002608846962380487,0.009588738106885295
0.008770723426840573,0.0021494151918917343,0.003294978736612697,0.003283027319646736
0.014613109450045776,0.0018116655345368838,0.003197861744808109,0.010436566249994356
0.017,0.086,0.019,0.002906866312835992
0.023,0.118,0.148,0.013
0.063,0.013,0.016,0.007869263535829426
0.19,0.007,0.02,0.008027209612561202
0.06,0.0003262510506259426,0.0037183960344492756,0.009297413121393846
0.068,0.019,0.185,0.004006102629643842
0.259,0.075,0.539,0.007011967704288103
0.009277186987974194,0.122,0.0007577518449593717,0.0034953674311628048
0.151,0.0028639703583966283,0.208,0.0022179180185161714
0.083,0.0021818348546893697,0.146,0.01019405973301659
0.098,0.07,0.003177906572909161,0.0017633479324430587
0.114,0.126,0.007,0.0009810684086507828
0.033,0.015,0.043,0.00180856770306747
0.05,0.09,0.084,0.0017269397010973976
0.055,0.075,0.095,0.0009903484365658452
0.012677857776363401,0.07,0.093,0.0063811510380175455
0.003992750045358887,0.0022631299302289048,0.0017983310359217795,0.009031988418787251
0.014506669508282284,0.0033875345791862044,6.847528977364892e-05,0.0077154743709654415
0.007788687056224587,1.9284933817312224e-05,0.0031774071501506013,0.004474395450295374
0.007644866342408197,0.003690632698518158,0.0002474793444242676,0.003887099309701141
0.006251865311220614,0.0036573554096369547,0.0012669926917634644,0.0005837903006357487
0.014142621325691478,0.0021401307668949855,0.002585693375392988,0.0006827721097149776
0.010434102244167033,0.0015414735970480239,0.002498783863277108,0.008945344987382997
