,order_date_received,accessioning_type,sample_id,arsenic_ug_g,cadmium_ug_g,lead_ug_g,mercury_ug_g
175,02/23/2021 10:06 AM,Distillate,210222-063,0.0251,0.0235666666667,0.0261,0.0202
176,02/24/2021 03:53 PM,Kief / Hash,210224-032,0.0954666666667,0.0475666666667,0.449,0.0297
177,02/25/2021 01:22 PM,Kief / Hash,210224-011,0.00246666666667,0.368666666667,0.671,0.0267666666667
178,02/25/2021 01:22 PM,Other,210224-012,0.123066666667,0.0528333333333,0.597666666667,0.0335333333333
179,02/25/2021 01:22 PM,Other,210224-013,0.159866666667,0.0601,0.385,0.0222333333333
180,02/25/2021 01:22 PM,Other,210224-014,0.136033333333,0.0604,1.05333333333,0.0220666666667
181,02/25/2021 01:22 PM,Other,210224-015,0.140466666667,0.0579333333333,0.625,0.0357
182,02/25/2021 01:22 PM,Other,210224-016,0.294666666667,0.0764333333333,0.406666666667,0.0229
183,02/25/2021 01:22 PM,Distillate,210224-017,,0.0136666666667,0.0347333333333,0.00723333333333
184,02/25/2021 09:51 AM,Concentrate,210224-033,0.0573666666667,0.025,0.0191,0.0122666666667
185,03/01/2021 01:29 PM,Distillate,210301-027,,0.0399,0.0348666666667,0.00436666666667
186,03/01/2021 09:03 AM,Concentrate,210228-001,,0.0164333333333,0.0300333333333,0.00616666666667
187,03/01/2021 12:27 PM,Flower,210301-025,0.289,0.113,0.581666666667,0.267
188,03/01/2021 12:27 PM,Flower,210301-026,0.211666666667,0.0908333333333,0.419,0.022
189,03/02/2021 04:53 PM,Flower,210302-033,0.871,1.22,1.78,0.227
190,03/02/2021 04:53 PM,Flower,210302-034,0.0184666666667,0.221333333333,0.163333333333,0.0221
191,03/02/2021 04:53 PM,Flower,210302-035,,0.137,0.0674666666667,0.0195
192,03/04/2021 01:32 PM,Flower,210303-004,0.353,0.0347,0.437,0.0199666666667
193,03/04/2021 12:30 PM,Concentrate,210304-048,,0.045,0.149333333333,0.0262666666667
194,03/04/2021 12:43 PM,Flower,210301-012,0.0734,0.0449666666667,0.0402666666667,0.0178666666667
195,03/05/2021 02:47 PM,Flower,210303-010,,0.0133333333333,0.107666666667,
196,03/05/2021 11:30 AM,Distillate,210305-008,,,0.0115666666667,
197,03/05/2021 11:30 AM,Distillate,210305-009,,,0.00273333333333,
198,03/05/2021 11:30 AM,Distillate,210305-010,,,0.0033,
199,03/05/2021 12:26 PM,Kief / Hash,210304-057,0.198333333333,0.134666666667,0.573333333333,
200,03/05/2021 12:26 PM,Kief / Hash,210304-058,0.196666666667,0.143666666667,0.410333333333,
201,03/08/2021 08:52 AM,Flower,210306-001,,0.0311,0.169666666667,
202,03/08/2021 10:12 AM,Other,210305-012,0.096,0.100266666667,0.235333333333,0.0343333333333
203,03/08/2021 10:12 AM,Other,210305-013,0.0879,0.0765333333333,0.155,0.0162333333333
204,03/09/2021 11:36 AM,Tincture,210308-030,,,,0.00403333333333
205,03/09/2021 11:36 AM,Tincture,210308-031,0.0115,,0.0003,0.00376666666667
206,03/09/2021 11:36 AM,Tincture,210308-032,,,,0.00363333333333
207,03/09/2021 11:36 AM,Tincture,210308-033,0.00363333333333,,,0.00353333333333
208,03/09/2021 11:36 AM,Tincture,210308-034,,,,0.00363333333333
209,03/10/2021 08:32 AM,Isolate,210309-033,0.0018,,,0.00333333333333
210,03/10/2021 11:10 AM,Flower,210309-028,0.0513,0.0314333333333,,0.00396666666667
211,03/10/2021 11:10 AM,Isolate,210309-029,,,,0.00616666666667
212,03/10/2021 11:10 AM,Isolate,210309-030,,,,0.00516666666667
213,03/10/2021 11:10 AM,Concentrate,210309-031,0.0555,,,0.0038
214,03/12/2021 12:22 PM,Distillate,210311-024,0.0425,,,
215,03/15/2021 10:43 AM,Isolate,210312-015,0.0154666666667,,,
216,03/15/2021 12:27 PM,Flower,210315-013,0.343333333333,0.204,0.416333333333,0.0031
217,03/15/2021 12:27 PM,Flower,210315-014,0.245666666667,0.0551666666667,0.0664333333333,0.0007
218,03/15/2021 12:27 PM,Flower,210315-015,0.132,0.0375666666667,0.158333333333,0.0168333333333
219,03/15/2021 12:27 PM,Flower,210315-016,0.195666666667,0.348,0.461333333333,0.0014
220,03/15/2021 12:27 PM,Flower,210315-017,,0.0127333333333,0.145,0.0011
221,03/15/2021 12:27 PM,Flower,210315-018,0.182666666667,0.0322333333333,0.384666666667,0.00126666666667
222,03/15/2021 12:27 PM,Flower,210315-019,0.128666666667,0.0187333333333,0.11,0.00336666666667
223,03/15/2021 12:27 PM,Flower,210315-020,0.0291,0.0505666666667,0.0687666666667,0.00483333333333
224,03/15/2021 12:27 PM,Flower,210315-021,0.046,0.086,0.103,3.33333333333e-05
225,03/15/2021 12:27 PM,Flower,210315-023,0.0888666666667,0.0377333333333,0.123333333333,
226,03/15/2021 12:27 PM,Flower,210315-024,0.113,0.0251,0.134333333333,0.00243333333333
227,03/15/2021 12:27 PM,Tincture,210315-025,0.0177,,,
228,03/15/2021 12:27 PM,Concentrate,210315-026,0.0537666666667,,,
229,03/15/2021 12:27 PM,Flower,210315-022,0.0889333333333,0.131333333333,0.107666666667,3.33333333333e-05
230,03/15/2021 12:42 PM,Leaf/Mixed Plant Material,210314-001,0.0788666666667,0.0344,,
231,03/17/2021 09:08 AM,Concentrate,210316-002,0.0509,,,
232,03/17/2021 12:11 PM,Other,210316-029,0.099,,,
233,03/17/2021 12:11 PM,Other,210316-030,0.0429,,,
234,03/18/2021 02:47 PM,Kratom powder,210318-019,0.125,0.0228,0.303666666667,0.00826666666667
235,03/18/2021 02:47 PM,Kratom powder,210318-020,0.141,0.0266,0.479666666667,0.0107
236,03/18/2021 02:47 PM,Kratom powder,210318-021,0.147333333333,0.0267,0.321666666667,0.0103333333333
237,03/18/2021 02:47 PM,Kratom powder,210318-022,0.15,0.0274,0.355666666667,0.0105333333333
238,03/18/2021 02:47 PM,Kratom powder,210318-023,0.0861666666667,0.0390666666667,0.187333333333,0.0116666666667
239,03/18/2021 02:47 PM,Kratom powder,210318-024,0.0959666666667,0.073,0.212666666667,0.0125666666667
240,03/18/2021 02:47 PM,Kratom powder,210318-025,0.149333333333,0.0285,0.334,0.0105
241,03/18/2021 02:47 PM,Kratom powder,210318-026,0.151,0.0296333333333,0.477333333333,0.0113333333333
242,03/18/2021 02:47 PM,Kratom powder,210318-027,0.0913,0.0383333333333,0.246666666667,0.0114
243,03/18/2021 02:47 PM,Kratom powder,210318-028,0.148,0.0255333333333,0.347,0.0095
244,03/18/2021 02:47 PM,Kratom powder,210318-029,0.137333333333,0.0237666666667,0.393333333333,0.00996666666667
245,03/18/2021 02:47 PM,Kratom powder,210318-030,0.272666666667,0.0320666666667,0.639,0.00886666666667
246,03/18/2021 02:47 PM,Kratom powder,210318-031,0.145666666667,0.0298333333333,0.306,0.0103666666667
247,03/18/2021 02:47 PM,Kratom powder,210318-032,0.122,0.0334333333333,0.310333333333,0.0117666666667
248,03/18/2021 02:47 PM,Kratom powder,210318-033,0.130333333333,0.0284,0.345666666667,0.0113666666667
249,03/18/2021 02:47 PM,Kratom powder,210318-034,0.102,0.0403666666667,0.207666666667,0.0117333333333
250,03/18/2021 02:47 PM,Kratom powder,210318-035,0.118333333333,0.0310666666667,0.275333333333,0.0107
251,03/18/2021 02:47 PM,Kratom powder,210318-036,0.119666666667,0.0268,0.270666666667,0.00913333333333
252,03/18/2021 02:47 PM,Kratom powder,210318-037,0.0831,0.0425,0.183666666667,0.0121333333333
253,03/18/2021 02:47 PM,Kratom powder,210318-038,0.0872,0.0432666666667,0.235,0.0112666666667
254,03/18/2021 02:47 PM,Kratom powder,210318-039,0.249,0.0323333333333,0.544,0.00926666666667
255,03/18/2021 02:47 PM,Kratom powder,210318-040,0.159,0.0236,0.386,0.00903333333333
256,03/18/2021 02:47 PM,Kratom powder,210318-041,0.139333333333,0.0272,0.448333333333,0.0119333333333
257,03/18/2021 02:47 PM,Kratom powder,210318-042,0.154,0.0278666666667,0.332,0.0111
258,03/18/2021 02:47 PM,Kratom powder,210318-043,0.161666666667,0.0283666666667,0.398333333333,0.011
259,03/18/2021 02:47 PM,Kratom powder,210318-044,0.141333333333,0.0266333333333,0.501666666667,0.0107666666667
260,03/18/2021 02:47 PM,Kratom powder,210318-045,0.150666666667,0.0282,0.424,0.0108333333333
261,03/18/2021 02:47 PM,Kratom powder,210318-046,0.0908,0.0378333333333,0.184,0.0102
262,03/18/2021 02:47 PM,Kratom powder,210318-047,0.136666666667,0.0269,0.476666666667,0.0103
263,03/18/2021 02:47 PM,Kratom powder,210318-048,0.145333333333,0.0255333333333,0.426666666667,0.0105666666667
264,03/18/2021 02:47 PM,Kratom powder,210318-049,0.0748333333333,0.0329333333333,0.159,0.00946666666667
265,03/18/2021 02:47 PM,Kratom powder,210318-050,0.251666666667,0.0283,0.745,0.008
266,03/18/2021 02:47 PM,Kratom powder,210318-051,0.296666666667,0.0379,0.597333333333,0.0156
267,03/18/2021 02:47 PM,Kratom powder,210318-052,0.303333333333,0.0403,0.636666666667,0.0165666666667
268,03/18/2021 02:47 PM,Kratom powder,210318-053,0.314333333333,0.0414666666667,0.555333333333,0.0165333333333
269,03/18/2021 02:47 PM,Kratom powder,210318-054,0.311333333333,0.0409333333333,0.602333333333,0.0170333333333
270,03/18/2021 02:47 PM,Kratom powder,210318-055,0.147666666667,0.0500666666667,0.211333333333,0.0178666666667
271,03/18/2021 02:47 PM,Kratom powder,210318-056,0.121333333333,0.0515,0.198666666667,0.0189333333333
272,03/18/2021 02:47 PM,Kratom powder,210318-057,0.1094,0.0481,0.220333333333,0.0184333333333
273,03/19/2021 09:37 AM,Flower,210318-010,0.0809666666667,0.00296666666667,0.101833333333,
274,03/22/2021 09:31 AM,Concentrate,210319-024,0.0101333333333,,,
275,03/22/2021 09:31 AM,Other,210319-025,0.02,,,
276,03/23/2021 03:07 PM,Flower,210322-017,0.0603666666667,0.0384666666667,0.0313333333333,0.0350333333333
277,03/23/2021 03:07 PM,Flower,210322-018,0.195866666667,0.0409,0.136666666667,0.208666666667
278,03/23/2021 03:07 PM,Flower,210322-019,0.0993333333333,0.0550666666667,0.00316666666667,0.0427333333333
279,03/26/2021 01:41 PM,Flower,210326-007,0.0847333333333,0.00233333333333,,0.00296666666667
280,03/26/2021 01:41 PM,Flower,210326-008,,0.0182666666667,0.00926666666667,0.00433333333333
281,03/26/2021 01:41 PM,Flower,210326-009,,0.0481333333333,0.0293333333333,0.0066
282,03/26/2021 01:41 PM,Flower,210326-010,0.0297,0.0854,0.0228666666667,0.00706666666667
283,03/26/2021 01:52 PM,Tincture,210326-021,,0.0105,0.0187333333333,0.00326666666667
284,03/26/2021 01:52 PM,Tincture,210326-023,,0.00556666666667,0.0149,0.00176666666667
